     seq      time                                             scheduled_show                 show                   episode                              artist                                                track
180  180   6:07 PM                                      HÜUKX with Greg Wymer            UNCERTAIN                      #283                          Eurythmics                                  Would I Lie to You?
181  181   6:11 PM                                      HÜUKX with Greg Wymer            UNCERTAIN                      #283                            The Cars                                       Dangerous Type
182  182   6:15 PM                                      HÜUKX with Greg Wymer            UNCERTAIN                      #283                              Weezer                                        In the Garage
183  183   6:19 PM                                      HÜUKX with Greg Wymer            UNCERTAIN                      #283                        Minor Threat                         Good Guys (Don't Wear White)
184  184   6:21 PM                                      HÜUKX with Greg Wymer            UNCERTAIN                      #283                Pursuit of Happiness                                     I'm An Adult Now
185  185   6:25 PM                                      HÜUKX with Greg Wymer            UNCERTAIN                      #283    Elvis Costello & The Attractions                                         Radio, Radio
186  186   6:28 PM                                      HÜUKX with Greg Wymer            UNCERTAIN                      #283                  The Rolling Stones                                       Paint It Black
187  187   6:32 PM                                      HÜUKX with Greg Wymer            UNCERTAIN                      #283                        Led Zeppelin                                         Gallows Pole
188  188   6:36 PM                                      HÜUKX with Greg Wymer            UNCERTAIN                      #283                Hans-Peter Lindstrøm  There's a Drink in My Bedroom and I Need a Hot Lady
189  189   6:39 PM                                      HÜUKX with Greg Wymer            UNCERTAIN                      #283                        The Toasters                                          2-Tone Army
190  190   6:42 PM                                      HÜUKX with Greg Wymer            UNCERTAIN                      #283                            The Beat                               Mirror In The Bathroom
191  191   6:45 PM                                      HÜUKX with Greg Wymer            UNCERTAIN                      #283             Prince & The Revolution                                                 Kiss
192  192   6:49 PM                                      HÜUKX with Greg Wymer            UNCERTAIN                      #283                       Janelle Monáe                                         Make Me Feel
193  193   6:52 PM                                      HÜUKX with Greg Wymer            UNCERTAIN                      #283                         Sofi Tukker                    Purple Hat (Dillon Francis Remix)
194  194   6:52 PM                                      HÜUKX with Greg Wymer            UNCERTAIN                      #283                           Turbotito                 Losing Their Heads (Filip Vs. Timmy)
195  195   6:59 PM                                      HÜUKX with Greg Wymer            UNCERTAIN                      #283                          Crocodiles                                      Welcome To Hell
196  196   7:02 PM                                      HÜUKX with Greg Wymer            UNCERTAIN                      #283                       Faith No More                        We Care A Lot [Slash Version]
197  197   7:06 PM                                      HÜUKX with Greg Wymer            UNCERTAIN                      #283                              Primus                          Jerry Was a Race Car Driver
198  198   7:09 PM                                      HÜUKX with Greg Wymer            UNCERTAIN                      #283                            Ryan Ike                        West of Loathing (Main Theme)
199  199   7:11 PM                                      HÜUKX with Greg Wymer            UNCERTAIN                      #283                           Liz Phair                                                 6'1"
200  200   7:14 PM                                      HÜUKX with Greg Wymer            UNCERTAIN                      #283                          The B-52's                                        Private Idaho
201  201   7:18 PM                                      HÜUKX with Greg Wymer            UNCERTAIN                      #283                       The Atlantics                                         Lonelyhearts
202  202   7:22 PM                                      HÜUKX with Greg Wymer            UNCERTAIN                      #283                            The Cure                                             The Kiss
203  203   7:22 PM                                      HÜUKX with Greg Wymer            UNCERTAIN                      #283                     Tears for Fears                             Sowing the Seeds of Love
