     seq      time                                             scheduled_show                                  show                   episode                                       artist                                                   track
97    97   2:06 PM                       THE GROOVE SCENARIO with Dan Hopkins  TWO HOUR MUSIC FUN RADIO FRIEND HOUR              2024 BANGERS                                     Hot Chip                                                  Flutes
98    98   2:09 PM                       THE GROOVE SCENARIO with Dan Hopkins  TWO HOUR MUSIC FUN RADIO FRIEND HOUR              2024 BANGERS                                Alan Hawkshaw                                   Beat Me 'til I'm Blue
99    99   2:16 PM                       THE GROOVE SCENARIO with Dan Hopkins  TWO HOUR MUSIC FUN RADIO FRIEND HOUR              2024 BANGERS                               The Budos Band                                            King Charles
100  100   2:18 PM                       THE GROOVE SCENARIO with Dan Hopkins  TWO HOUR MUSIC FUN RADIO FRIEND HOUR              2024 BANGERS                                     Jazz Emu                                               A La Mode
101  101   2:21 PM                       THE GROOVE SCENARIO with Dan Hopkins  TWO HOUR MUSIC FUN RADIO FRIEND HOUR              2024 BANGERS                    Medeski Martin &amp; Wood                                             Jelly Belly
102  102   2:24 PM                       THE GROOVE SCENARIO with Dan Hopkins  TWO HOUR MUSIC FUN RADIO FRIEND HOUR              2024 BANGERS                                 Snarky Puppy                                                East Bay
103  103   2:29 PM                       THE GROOVE SCENARIO with Dan Hopkins  TWO HOUR MUSIC FUN RADIO FRIEND HOUR              2024 BANGERS                                       Hiromi                                             Omelet rice
104  104   2:34 PM                       THE GROOVE SCENARIO with Dan Hopkins  TWO HOUR MUSIC FUN RADIO FRIEND HOUR              2024 BANGERS                                      Cienfue            Panama Verde Panama Red (feat. Lilo Sanchez)
105  105   2:35 PM                       THE GROOVE SCENARIO with Dan Hopkins  TWO HOUR MUSIC FUN RADIO FRIEND HOUR              2024 BANGERS                                     Dirtwire                                               Hirajoshi
106  106   2:39 PM                       THE GROOVE SCENARIO with Dan Hopkins  TWO HOUR MUSIC FUN RADIO FRIEND HOUR              2024 BANGERS                                  Stone Roses               I Wanna Be Adored (Bloody Valentine Edit)
107  107   2:42 PM                       THE GROOVE SCENARIO with Dan Hopkins  TWO HOUR MUSIC FUN RADIO FRIEND HOUR              2024 BANGERS                          My Bloody Valentine                                            Only Shallow
108  108   2:50 PM                       THE GROOVE SCENARIO with Dan Hopkins  TWO HOUR MUSIC FUN RADIO FRIEND HOUR              2024 BANGERS                               The Charlatans                                       Opportunity Three
109  109   2:54 PM                       THE GROOVE SCENARIO with Dan Hopkins  TWO HOUR MUSIC FUN RADIO FRIEND HOUR              2024 BANGERS                                Talking Heads                                         Slippery People
110  110   3:01 PM                       THE GROOVE SCENARIO with Dan Hopkins  TWO HOUR MUSIC FUN RADIO FRIEND HOUR              2024 BANGERS                         Thievery Corporation                                               Fragments
111  111   3:06 PM                       THE GROOVE SCENARIO with Dan Hopkins  TWO HOUR MUSIC FUN RADIO FRIEND HOUR              2024 BANGERS                                    Morcheeba                                      Coming Down Gently
112  112   3:10 PM                       THE GROOVE SCENARIO with Dan Hopkins  TWO HOUR MUSIC FUN RADIO FRIEND HOUR              2024 BANGERS                              TV on the Radio                                                     DLZ
113  113   3:14 PM                       THE GROOVE SCENARIO with Dan Hopkins  TWO HOUR MUSIC FUN RADIO FRIEND HOUR              2024 BANGERS                                     Yard Act                                             Tiny Dancer
114  114   3:18 PM                       THE GROOVE SCENARIO with Dan Hopkins  TWO HOUR MUSIC FUN RADIO FRIEND HOUR              2024 BANGERS                                   Lily Allen                             Nan You're a Window Shopper
115  115   3:21 PM                       THE GROOVE SCENARIO with Dan Hopkins  TWO HOUR MUSIC FUN RADIO FRIEND HOUR              2024 BANGERS                           Bedouin Soundclash                                                 Shelter
116  116   3:24 PM                       THE GROOVE SCENARIO with Dan Hopkins  TWO HOUR MUSIC FUN RADIO FRIEND HOUR              2024 BANGERS                                 Wu-Tang Clan            Stick Me For My Riches (feat. Gerald Alston)
117  117   3:28 PM                       THE GROOVE SCENARIO with Dan Hopkins  TWO HOUR MUSIC FUN RADIO FRIEND HOUR              2024 BANGERS        SFJAZZ High School All-Stars Big Band                                      A Night in Tunisia
118  118   3:34 PM                       THE GROOVE SCENARIO with Dan Hopkins  TWO HOUR MUSIC FUN RADIO FRIEND HOUR              2024 BANGERS                                      Lettuce                                             Gravy Train
119  119   3:40 PM                       THE GROOVE SCENARIO with Dan Hopkins  TWO HOUR MUSIC FUN RADIO FRIEND HOUR              2024 BANGERS                                      Lettuce                                                  Lude 2
120  120   3:46 PM                       THE GROOVE SCENARIO with Dan Hopkins  TWO HOUR MUSIC FUN RADIO FRIEND HOUR              2024 BANGERS                                   Jamiroquai                                                Mr. Moon
121  121   3:47 PM                       THE GROOVE SCENARIO with Dan Hopkins  TWO HOUR MUSIC FUN RADIO FRIEND HOUR              2024 BANGERS                                   Cibo Matto                                               Moonchild
122  122   3:52 PM                       THE GROOVE SCENARIO with Dan Hopkins  TWO HOUR MUSIC FUN RADIO FRIEND HOUR              2024 BANGERS                         Ghost Funk Orchestra                                            To The Moon!
123  123   4:01 PM                  POLICYMAKER RADIO HOUR with Mike Fournier  TWO HOUR MUSIC FUN RADIO FRIEND HOUR              2024 BANGERS                                    Bed Maker                                           Two Left Feet
124  124   4:02 PM                  POLICYMAKER RADIO HOUR with Mike Fournier  TWO HOUR MUSIC FUN RADIO FRIEND HOUR              2024 BANGERS                                    Samuel SC                                                Who Says
125  125   4:05 PM                  POLICYMAKER RADIO HOUR with Mike Fournier  TWO HOUR MUSIC FUN RADIO FRIEND HOUR              2024 BANGERS                                     Neutrals                                             Leisureland
126  126   4:08 PM                  POLICYMAKER RADIO HOUR with Mike Fournier  TWO HOUR MUSIC FUN RADIO FRIEND HOUR              2024 BANGERS                                      Shellac                                                    WSOD
