     seq                           show                                        episode                               artist                                                                track
225  225             PLAYING AT SHADOWS                                        (BREAK)                             The Cure                                                                 Push
226  226             PLAYING AT SHADOWS                                        (BREAK)                           The Police                                                 Re-Humanise Yourself
227  227             PLAYING AT SHADOWS                                        (BREAK)                              Orbital                                                         Time Becomes
228  228                    COVER LOVER                                           #150                       Charlie Barnes                                                                Alone
229  229                    COVER LOVER                                           #150                      Peter Fernandez                                                           Greg Wymer
230  230                    COVER LOVER        Holy Covers Batman ... It's Show # 150!                  The Bloodhound Gang                                                  The Choice is Yours
231  231                    COVER LOVER        Holy Covers Batman ... It's Show # 150!                         The Supremes          These Boots Are Made For Walking (SILO x Martin Wave remix)
232  232                    COVER LOVER        Holy Covers Batman ... It's Show # 150!        Merril Bainbridge with Shaggy                                                       I Got You Babe
233  233                    COVER LOVER        Holy Covers Batman ... It's Show # 150!                    Weird Al Yankovic                                                          Polkamania!
234  234                    COVER LOVER        Holy Covers Batman ... It's Show # 150!                         Phil Collins                                                A Groovy Kind of Love
235  235                    COVER LOVER        Holy Covers Batman ... It's Show # 150!                       The Lemonheads                                                            Beautiful
236  236                    COVER LOVER        Holy Covers Batman ... It's Show # 150!                      Jimmy Eat World                              We Are Never Ever Getting Back Together
237  237                    COVER LOVER        Holy Covers Batman ... It's Show # 150!  The Band of Heathens & Butch Walker                                                          Night Moves
238  238                    COVER LOVER        Holy Covers Batman ... It's Show # 150!                        Guns n' Roses                                                             New Rose
239  239                    COVER LOVER        Holy Covers Batman ... It's Show # 150!                        Ozzy Osbourne                                                    Mississippi Queen
240  240                    COVER LOVER  A Countdown of Songs That Just Missed the Cut                   Fountains of Wayne                                               ... Baby One More Time
241  241                    COVER LOVER  A Countdown of Songs That Just Missed the Cut                          Sonic Youth                                                            Superstar
242  242                    COVER LOVER  A Countdown of Songs That Just Missed the Cut                       Grace Cummings                                                           Praise You
243  243                    COVER LOVER  A Countdown of Songs That Just Missed the Cut                              Nirvana                                                            Love Buzz
244  244                    COVER LOVER  A Countdown of Songs That Just Missed the Cut                              Madonna                                                         Ray of Light
245  245                    COVER LOVER  A Countdown of Songs That Just Missed the Cut                   Josh Weathers Band                                        I Will Always Love You (live)
246  246                    COVER LOVER  A Countdown of Songs That Just Missed the Cut                          Fiona Apple                                I Want You (w/ Elvis Costello) (live)
247  247                    COVER LOVER                    Counting Down From 34 to 27                          Paul Weller                                                    Wishing on a Star
248  248                    COVER LOVER                    Counting Down From 34 to 27                           Chaka Khan                                                       I Feel For You
249  249                    COVER LOVER                    Counting Down From 34 to 27                    Ike & Tina Turner                                                           Proud Mary
250  250                    COVER LOVER                    Counting Down From 34 to 27             Christine and The Queens                                                              Freedom
251  251                    COVER LOVER                    Counting Down From 34 to 27                          Dub Pistols                                           Rapture (feat. Terry Hall)
252  252                    COVER LOVER                    Counting Down From 34 to 27                           MONOWHALES                                                  The Hand That Feeds
253  253                    COVER LOVER                    Counting Down From 34 to 27                       Kelly Clarkson                                                    Happier Than Ever
254  254                    COVER LOVER    NEXT WEEK: Our Annual Halloween Covers Show                                 Melt                                                         Harvest Moon
255  255  MAURA DOT COM SLASH UNCERTAIN                                             #7                        maura dot com                                                      slash uncertain
256  256  MAURA DOT COM SLASH UNCERTAIN                                             #7                     The Surfrajettes                                                   Spice Up Your Life
